route_id,route_name,track_name,track_file,confidence,match_score,distance_km,ascent_m,author,license_status,suggested_action,review_note
FZ003,晋安 鼓山登山道-涌泉寺登山线,11.2 龙门-般若苑-涌泉寺-鼓山古道,import-tools/raw/11.2龙门-般若苑-涌泉寺-鼓山古道.kml,高,78,8.96,564,刘家有两千金,待确认,建议关联到现有路线，进入授权和实地复核,轨迹距路线点约1.7km；名称命中：鼓山、涌泉寺；区域一致；距离接近；爬升接近；海拔低值可能有噪声；起终点名称与坐标需人工复核。
FZ031,晋安 状元岭古道-小北岭古道环线,2025-10-02 状元岭小圈越，状元岭古道～状元坊～象峰古道！,import-tools/raw/2025-10-02状元岭小圈越，状元岭古道～状元坊～象峰古道！.kml,高,94,6.75,679,仰望星空3539,待确认,建议关联到现有路线，进入授权和实地复核,路线点落在轨迹范围内；名称命中：状元岭、象峰；区域一致；距离可参考；爬升接近；需人工复核起终点、停车、开放状态和风险点。
FZ031,晋安 状元岭古道-小北岭古道环线,2025-11-23 贡院岭古道～鹅鼻岭～泉头古道！,import-tools/raw/2025-11-23贡院岭古道～鹅鼻岭～泉头古道！ (1).kml,高,90,10.89,955,仰望星空3539,待确认,建议关联到现有路线，进入授权和实地复核,轨迹距路线点约0.5km；名称命中：贡院岭、鹅鼻岭、泉头；距离接近；需人工复核起终点、停车、开放状态和风险点。
FZ031,晋安 状元岭古道-小北岭古道环线,2025-11-23 贡院岭古道～鹅鼻岭～泉头古道！,import-tools/raw/2025-11-23贡院岭古道～鹅鼻岭～泉头古道！.kml,高,90,10.89,955,仰望星空3539,待确认,先合并重复轨迹，再决定是否关联,轨迹距路线点约0.5km；名称命中：贡院岭、鹅鼻岭、泉头；距离接近；需人工复核起终点、停车、开放状态和风险点。
FZ005,晋安 鼓山白云洞-凤池白云洞登山线,2025-11-2712_19福州白云洞至鼓山,import-tools/raw/2025-11-2712_19福州白云洞至鼓山.kml,高,83,10.72,1002,,待确认,建议关联到现有路线，进入授权和实地复核,轨迹距路线点约0.5km；名称命中：鼓山、白云洞；区域一致；距离接近；需人工复核起终点、停车、开放状态和风险点。
FZ003,晋安 鼓山登山道-涌泉寺登山线,2026-01-03鼓山情人谷圈越,import-tools/raw/2026-01-03鼓山情人谷圈越.kml,高,74,5.85,627,福州山喵户外-老蔡蔡不是老菜菜,待确认,建议关联到现有路线，进入授权和实地复核,轨迹距路线点约0.8km；名称命中：鼓山；区域一致；距离可参考；爬升接近；需人工复核起终点、停车、开放状态和风险点。
FZ031,晋安 状元岭古道-小北岭古道环线,9.7状元岭古道-小北岭古道,import-tools/raw/9.7状元岭古道-小北岭古道.kml,高,98,9.12,560,刘家有两千金,待确认,建议关联到现有路线，进入授权和实地复核,路线点落在轨迹范围内；名称命中：状元岭、小北岭；区域一致；距离接近；爬升接近；海拔低值可能有噪声；起终点名称与坐标需人工复核。
FZ010,闽侯 旗山-万佛寺-博思软件园穿越,仁宅登山道-鸾峰寺-旗山顶圈越,import-tools/raw/仁宅登山道-鸾峰寺-旗山顶圈越.kml,中,67,9.3,1106,小条条,待确认,可作为同路线候选轨迹，需人工比对轨迹走向,轨迹距路线点约2.0km；名称命中：旗山；区域一致；距离接近；需人工复核起终点、停车、开放状态和风险点。
FZ032,平潭 大练岛环线,平潭大练岛,import-tools/raw/平潭大练岛.kml,高,94,13.98,457,旅行者99,待确认,建议关联到现有路线，进入授权和实地复核,路线点落在轨迹范围内；名称命中：大练岛；区域一致；距离接近；爬升接近；需人工复核起终点、停车、开放状态和风险点。
FZ006,晋安 鼓山-鼓岭古道穿越,樟林古道-柳杉王公园-鼓岭古道,import-tools/raw/樟林古道-柳杉王公园-鼓岭古道.kml,中,65,12.61,1280,小条条,待确认,可作为同路线候选轨迹，需人工比对轨迹走向,轨迹距路线点约4.7km；名称命中：鼓岭、古道；区域一致；距离接近；需人工复核起终点、停车、开放状态和风险点。
FZ010,闽侯 旗山-万佛寺-博思软件园穿越,水项古道→旗山森林公园,import-tools/raw/水项古道→旗山森林公园.kml,中,57,22.48,1874,双杖同行,待确认,可作为同路线候选轨迹，需人工比对轨迹走向,轨迹距路线点约1.8km；名称命中：旗山；区域一致；需人工复核起终点、停车、开放状态和风险点。
FZ005,晋安 鼓山白云洞-凤池白云洞登山线,白云洞积翠庵圈越,import-tools/raw/白云洞积翠庵圈越.kml,中,62,5.91,779,冲电宝大壮爱爬山,待确认,可作为同路线候选轨迹，需人工比对轨迹走向,轨迹距路线点约0.3km；名称命中：白云洞；爬升接近；需人工复核起终点、停车、开放状态和风险点。
FZ004,晋安 鼓山-十八景-喝水岩-白云顶穿越,磨溪→绝顶峰→鼓山,import-tools/raw/磨溪→绝顶峰→鼓山.kml,中,70,9.87,809,老林努力中,待确认,可作为同路线候选轨迹，需人工比对轨迹走向,轨迹距路线点约2.0km；名称命中：鼓山；区域一致；距离接近；爬升接近；需人工复核起终点、停车、开放状态和风险点。
